sha,filename,url,lines,title,comment,priority,category,additional,id,private
"9b024cb200323c6717f2811eb30fb360a087e8db","\src\console\UI.java","","16:8-31:41","Menu options are not displayed in numerical order","Please put the menu options in numerical order 1,2,...","3","Best Practices","-","cbd1d91b-2583-46e1-af34-568cadfbd4a3","0"
"e27ac352cc3908fd8efdd60d0f39604021968f20","\src\Main.java","","21:8-21:38","Redundant code","please remove this line that is not used","1","Code-Style","-","bfd7e34a-9836-45a8-b6c5-13865fec2483","0"
